"ItemID"|"IP"|"ViewDate"
281780006574|"96.30.238.189"|"2015-09-14 07:12"
281798704919|"201.166.60.203"|"2015-09-14 07:12"
271980306147|"23.118.156.193"|"2015-09-14 07:11"
281762255225|"142.129.205.137"|"2015-09-14 07:10"
281762255225|"142.129.205.137"|"2015-09-14 07:10"
281762254299|"142.129.205.137"|"2015-09-14 07:10"
281786903128|"178.238.70.129"|"2015-09-14 07:09"
281778746028|"69.5.99.139"|"2015-09-14 07:03"
281796301048|"67.215.40.196"|"2015-09-14 07:01"
271978400227|"174.45.159.159"|"2015-09-14 06:59"
271978400227|"174.45.159.159"|"2015-09-14 06:58"
281787126560|"107.210.42.139"|"2015-09-14 06:55"
281788792058|"96.41.242.210"|"2015-09-14 06:54"
281794865088|"174.45.159.159"|"2015-09-14 06:53"
271962413391|"108.0.81.61"|"2015-09-14 06:53"
271978840171|"107.77.90.22"|"2015-09-14 06:52"
281778412151|"72.64.14.76"|"2015-09-14 06:51"
281782631545|"99.47.22.246"|"2015-09-14 06:46"
281790112153|"24.166.213.32"|"2015-09-14 06:43"
271944170019|"68.230.81.178"|"2015-09-14 06:41"
271977565738|"71.11.36.197"|"2015-09-14 06:36"
